,SMILES1,SMILES2,result
4169,Oc1cccc(-c2ccc(C(c3ccc(-c4cccc(O)c4)cc3)(c3ccc(-c4cccc(O)c4)cc3)c3ccc(-c4cccc(O)c4)cc3)cc2)c1,COc1cncc(C#Cc2cccnc2)c1,0
4170,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,C(=Cc1ccccc1)c1ccccc1,1
4171,Cc1cc2ncn(Cc3ccncc3)c2cc1C,N#CC(=NO)c1ccc(F)cc1,1
4172,O=C1CCC(=O)CC1,Cc1c(C)c(C)c(C#Cc2ccccc2)c(C)c1C,0
4173,NC(=O)c1ccc([N+](=O)[O-])cc1,O=C(O)c1ccccc1,1
4174,OC(O)C(Cl)(Cl)Cl,[O-][n+]1ccccc1,1
4175,C(#Cc1ccccc1)C(C#Cc1ccccc1)=C(C#Cc1ccccc1)C#Cc1ccccc1,COc1cncc(C#Cc2cc(C)nc(N)n2)c1,0
4176,CCCC1C(=O)C2=C3C4C(CC2)C2C=C(C(=O)OC)C4(CC2)C(=O)C(CCC)C31O,BrCCCCCCCCCBr,0
4177,CC(C)(C)c1cc2c(O)c(c1)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1O)C2,Cc1cc(C)c(C)cc1C,0
4178,Cl[Si](Cl)(Cl)OC(=C(O[Si](Cl)(Cl)Cl)c1ccccc1)c1ccccc1,c1cc(N2CCCC2)ccn1,0
4179,c1cc(-c2nnc(-c3ccncc3)o2)ccn1,O=C(O)/C=C/C(=O)O,1
4180,O=C1CCCCN1,NS(=O)(=O)c1ccccc1,1
4181,N#CN=C1SC2=C(Br)C(=NC#N)SC2=C1Br,Cc1ccc2cc(C)ccc2c1,0
4182,[2H]c1ccc2c(c1)-c1cc([2H])ccc1-c1ccccc1-c1ccccc1-2,Cc1ccc(S(=O)(=O)NC(CCC(=O)O)C(=O)O)cc1,0
4183,CC1(C)c2ccc(cc2)OCCCCCOc2ccc(cc2)C(C)(C)c2ccc(cc2)C(C)(C)c2ccc(cc2)OCCCCCOc2ccc(cc2)C(C)(C)c2ccc1cc2,c1ccc2cc3ccccc3cc2c1,1
4184,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,FC(F)(F)c1cc(C=Cc2ccc(C=Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)cc(C(F)(F)F)c1,0
4185,O=C(O)c1ccc(O)cc1,O=C(O)CN1C=CC=CC1,1
4186,O=C1C=CC(=O)N1,O=C(O)c1cc(O)c(O)c(O)c1,1
4187,O=C(O)c1ccccc1Nc1ccccc1,c1cc(-c2ccncc2)ccn1,1
4188,c1ccc2c(c1)c1ccccc1n2CCCCn1c2ccccc2c2ccccc21,O=C1C(O)=C(O)C(=O)C(O)=C1O,0
4189,O=C(O)c1ccccc1F,c1cc(-c2ccncc2)ccn1,1
4190,O=C(O)c1c(F)c(F)c(Br)c(F)c1F,c1ccc(-c2cc(-c3ccccn3)nc3ccc(-c4ccncc4)cc23)cc1,1
4191,O=C(O)c1cccc(O)c1,NC(=O)c1ccc(Cl)cc1,1
4192,O=c1cccc[nH]1,O=C(O)/C=C/C(=O)O,1
4193,OC(c1ccccc1)(c1ccccc1)C1OC2(CCCCC2)OC1C(O)(c1ccccc1)c1ccccc1,CN(C(=O)C1=CCCCC1)c1ccccc1,1
4194,CC1(C)CC(=O)NC(=O)C1,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1
4195,O=C(O)c1ccccc1,COc1cc(C)nc(N)n1,1
